File ID,Account,Date From,Date To,Bag Count,Amount Collected,Amount Due,Amount Retained,Create Date,Vendor Name,City,State,Zip code,Location1
95353,552,2024-09-01,2024-09-30,767,38.35,30.68,7.67,2024-10-16,"Chico's FAS, Inc.",,FL,33966,"FL 33966
(26.60791, -81.81004)"
95360,3799,2024-09-01,2024-09-30,505,25.25,20.2,5.05,2024-10-16,HINATA SUSHI CARRYOUT,Bethesda,MD,20814,"Bethesda, MD 20814
(38.992455, -77.099577)"
95245,460,2024-09-01,2024-09-30,381,19.05,15.24,3.81,2024-10-11,Wow Grill Inc,Gaithersburg,MD,20877,"Gaithersburg, MD 20877
(39.14033, -77.19373)"
95410,1472,2024-09-01,2024-10-05,2497,124.85,99.88,24.97,2024-10-18,Aero OPCO LLC,,NJ,7071,"NJ 07071
(40.8121, -74.12464)"
95504,871,2024-09-01,2024-09-30,125097,6254.85,5003.88,1250.97,2024-10-22,"Dollar Tree Stores, Inc.",,VA,23320,"VA 23320
(36.74577, -76.25932)"
95414,432,2024-09-01,2024-09-30,2408,120.4,96.32,24.08,2024-10-18,Rodmans Gourmet,Silver Spring,MD,20902,"Silver Spring, MD 20902
(39.04516, -77.05324)"
95174,4982,2024-09-01,2024-09-30,100,5.0,4.0,1.0,2024-10-08,Classic Wine Rockville LLC,Rockville,MD,20852,"Rockville, MD 20852
(39.05652, -77.11419)"
95388,214,2024-09-01,2024-09-30,20685,1034.25,827.4,206.85,2024-10-17,Nordstrom Inc.,,WA,98111,"WA 98111
(47.60879, -122.33663)"
95204,3563,2024-09-01,2024-09-30,45820,2291.0,1832.8,458.2,2024-10-09,GLOBAL FOOD OF SILVER SPRING,Silver Spring,MD,20904,"Silver Spring, MD 20904
(39.06094, -76.95226)"
95391,5184,2024-09-01,2024-09-30,313,15.65,12.52,3.13,2024-10-17,"ZEROJIP, INC",Germantown,MD,20874,"Germantown, MD 20874
(39.18272, -77.27048)"
